prefeitura,cidade,populacao,area,descricao,clima,cultura
Shimane,Matsue,694000,6707,"A prefeitura tem uma área alongada de leste a oeste voltada para a Cordilheira Chugoku no lado sul e para o Mar do Japão no lado norte. É dividida na Região de Izumo no leste, na Região de Iwami no zest e na Região de Oki, um pequeno grupo de ilhas na costa norte. A maioria das cidades fica perto da costa do Mar do Japão. A área florestal é de 80% da terra, tornando-a uma das maiores taxas do Japão.",A prefeitura tem um clima subtropical. O inverno é nublado com alguma neve e o verão é úmido.,"Shimane foi o primeiro local de residência no Japão de Lafcadio Hearn (1850-1904), um escritor grego-irlandês que se tornou um dos primeiros estrangeiros a obter a cidadania japonesa devido à sua paixão pelo país. Com um interesse apaixonado pela cultura tradicional japonesa, ele usou Matsue como palco para apresentar a cultura japonesa ao mundo por meio de seus escritos; ele também é o “exportador” do judô para a América. Ainda hoje, sua história e fama são bem conhecidas na área e seu museu e a vila onde ele viveu são duas atrações turísticas imperdíveis."
Okayama,Okayama,1922000,7112,"A Prefeitura de Okayama faz fronteira com as Prefeituras de Hyōgo, Tottori e Hiroshima. A maior parte da população está concentrada em torno das cidades históricas de Kurashiki e Okayama. As pequenas vilas na região montanhosa do norte estão envelhecendo e diminuindo em população - mais da metade dos municípios da prefeitura são oficialmente designados como despovoados.","Okayama tem um clima ameno comparado à maior parte do Japão. Graças a um nível extremamente baixo de chuva e um dos maiores números de dias ensolarados por ano, a prefeitura é apelidada de “País Ensolarado”.","Okayama é onde a famosa lenda de Momotaro nasceu e, como resultado, tornou-se um símbolo da prefeitura.
Ele relata a história de como um casal velho e sem filhos viu um pêssego gigante flutuando rio abaixo. Eles o abriram com a intenção de comê-lo, mas encontraram um menino dentro e decidiram adotá-lo como filho. Anos mais tarde, o menino conhecido como Momotaro deixou seus pais e foi lutar contra um bando de oni (demônios ou ogros) saqueadores em uma ilha distante. No caminho, Momotaro conheceu e fez amizade com um cachorro falante, um macaco e um faisão, que concordaram em ajudá-lo em sua busca. Uma vez que os demônios foram derrotados, o grupo de heróis voltou para casa com o tesouro dos demônios."
Hiroshima,Hiroshima,2845000,8476,A prefeitura de Hiroshima fica no meio da região de Chugoku. A maior parte da prefeitura consiste em montanhas que levam à prefeitura de Shimane e rios que produzem planícies ricas perto da costa.,Hiroshima é abençoada por um clima geralmente quente. A prefeitura geralmente registra mais chuva na área norte do que no sul.,"Hiroshima abriga dois locais considerados Patrimônio Mundial da UNESCO: o Domo Atômico, um dos poucos remanescentes de Hiroshima pré-guerra após o bombardeio atômico em 1945 e o Santuário de Itsukushima em Miyajima, famoso por encher-se de água e parecer ""flutuar"" durante a maré alta. A porta Torii vermelha na água, um dos símbolos mais conhecidos do Japão, está localizada em frente a Miyajima."
Yamaguchi,Yamaguchi,1405000,6110,A Prefeitura de Yamaguchi está localizada na parte mais ocidental de Honshu e é cercada em três lados pelo mar. A montanha Chugoku atravessa a prefeitura de leste a oeste.,A província de Yamaguchi possui um clima ameno e é amplamente poupada de desastres naturais.,"No período Taisho (1912-1926), foram construídas fábricas de construção naval, química, maquinário e metalúrgica nos portos de Yamaguchi na área do Mar Interior de Seto. Durante o Período Showa pós-Segunda Guerra Mundial, Yamaguchi se desenvolveu em uma das prefeituras mais industrializadas do país devido ao estabelecimento de complexos petroquímicos. A prefeitura abriga um dos festivais mais originais do Japão: o festival das lanternas de peixinho dourado. É quando a cidade de Yanai é “invadida” por cerca de 2.000 lanternas em forma de peixinho dourado decorando as ruas. Os destaques incluem a caminhada das lanternas gigantes e a dança das lanternas."
Tokushima,Tokushima,756000,4144,"A província de Tokushima está localizada na parte oriental de Shikoku, a quarta maior ilha que compõe o Japão. As áreas montanhosas constituem aproximadamente 80% da área total de Tokushima.","A parte sul da prefeitura é mais quente, os invernos são geralmente secos, mas os verões são chuvosos. A área norte, com sua cadeia de montanhas com média de 2.000 m, é mais propensa a fortes nevascas.","Dizem que o circuito de peregrinação de Shikoku, que liga 88 templos localizados na região de Shikoku, foi fundado por volta do ano 815 pelo famoso monge budista Kobo Daishi (Kukai) para proteger peregrinos e outros do infortúnio. Tradicionalmente, a peregrinação é feita a pé, levando um mês ou mais, mas nos tempos modernos muitas pessoas viajam de carro ou ônibus por parte ou todo o circuito. Tokushima abriga 24 desses templos e o ponto de partida do circuito.
Outro aspecto da cultura da prefeitura é o Awa Odori, o maior festival de dança do Japão, que atrai mais de 1,3 milhões de turistas todos os anos."
Kagawa,Takamatsu,977000,1876,Kagawa compreende o canto nordeste da região de Shikoku. É também a menor prefeitura em área no Japão. Kagawa é uma prefeitura relativamente estreita localizada entre as montanhas de Shikoku e o mar.,"A prefeitura é abençoada com um clima ameno e sol brilhante o ano todo. Devido a isso, a produção de sal da área é a mais importante do Japão, tanto que a prefeitura foi apelidada de “Reino do Sal Kagawa”. Como efeito colateral, a pouca frequência de chuva causa escassez regular de água durante o período de verão.","A Prefeitura de Kagawa abriga um dos projetos mais bem-sucedidos relacionados à promoção da arte e da cultura. Fundado em 1989 na pequena ilha de Naoshima, este projeto teve como objetivo estabelecer vários museus e eventos de arte contemporânea em um único local. Hoje, o projeto se espalhou para outras ilhas próximas também, dando à área uma alta concentração de centros de arte e um famoso festival internacional de arte chamado Setouchi Triennale que dura mais de 100 dias."
Ehime,Matsuyama,1386000,5676,"Localizada na parte noroeste de Shikoku, Ehime fica de frente para o Mar Interior de Seto ao norte. A prefeitura inclui altas montanhas na região interior e um longo litoral com muitas ilhas no Mar Interior de Seto. O braço mais ocidental de Ehime, a Península de Sadamisaki, é a península mais estreita do Japão. Em 1º de abril de 2012, 7% da área total da prefeitura foi designada como parques naturais.",Clima geralmente ameno. Invernos secos com baixa precipitação e verões chuvosos e úmidos.,"A mais antiga fonte termal existente no Japão, Dogo Onsen, está localizada em Matsuyama. Ela é usada há mais de dois mil anos. Também foi uma fonte de inspiração para o bem-sucedido filme de animação do Studio Ghibli, A Viagem de Chihiro, que ganhou o Oscar de Melhor Filme de Animação e é, até hoje, o filme de maior sucesso da história japonesa."
Kōchi,Kōchi,728000,7104,"A Prefeitura de Kōchi compreende a parte sudoeste da ilha de Shikoku, de frente para o Oceano Pacífico. É a maior, mas menos populosa das quatro prefeituras de Shikoku. A maior parte da província é montanhosa, com poucas planícies. Em 1º de abril de 2012, 7% da área total da prefeitura foi designada como Parques Naturais.","Uma das prefeituras japonesas com o maior número de dias ensolarados em um ano. Apesar disso, certas áreas também registram algumas das maiores quantidades de chuva no Japão.","A Prefeitura de Kōchi deu à luz Sakamoto Ryoma (1836 - 1867), uma das pessoas históricas mais famosas do Japão. Sakamoto foi uma figura proeminente que impulsionou o Japão durante o período turbulento que levou às grandes reformas políticas da Restauração Meiji de 1868. Em 2003, o Aeroporto de Kōchi foi renomeado para Aeroporto de Kōchi Ryoma em sua homenagem e o Museu Memorial Sakamoto Ryoma é uma atração principal no turismo local."
Fukuoka,Fukuoka,5103000,4846,"A Prefeitura de Fukuoka fica de frente para o mar em três lados, fazendo fronteira com as prefeituras de Saga, Ōita e Kumamoto e de frente para a Prefeitura de Yamaguchi através do Estreito de Kanmon. Fukuoka inclui as duas maiores cidades de Kyushu, Fukuoka e Kitakyushu, e grande parte da indústria de Kyushu. Também inclui uma série de pequenas ilhas perto da costa norte de Kyushu.","A província de Fukuoka desfruta de um clima ameno e temperado e de uma quantidade adequada de chuva, o que permite aos residentes viverem confortavelmente durante todo o ano. Embora às vezes neve no inverno, especialmente nas montanhas, raramente neva em áreas urbanas.","A prefeitura de Fukuoka ostenta algumas características culturais únicas, como o Kowakamai de 700 anos, a apresentação de canto e dança mais antiga do Japão, que é realizada apenas uma vez por ano no santuário xintoísta em Oe e a boneca Toro de Yame Fukushima, que foi designada como um dos mais importantes bens culturais folclóricos intangíveis do Japão."
Saga,Saga,833000,2439,"A menor prefeitura de Kyushu, Saga, está localizada no canto noroeste da ilha. Em grande parte rural fora das duas maiores cidades de Saga e Karatsu. Terras agrícolas e florestais compreendem mais de 68% da área total da prefeitura.",A província de Saga tem um clima ameno com uma temperatura média de cerca de 16°C.,"Devido à sua proximidade com a Ásia continental, a Prefeitura de Saga tem sido uma importante porta de entrada para a transmissão da cultura e do comércio ao longo da história japonesa. Nos tempos modernos, a cidade de Kashima é o lar das Gatalympics: uma competição divertida durante a qual os participantes competem em jogos únicos e acabam cobertos de lama. Os jogos consistem em concursos bobos do tipo game show, como torneios de sumô na lama e uma corrida de prancha de surfe. Tornou-se um dos eventos mais famosos da Prefeitura de Saga, com japoneses e estrangeiros participando."
Nagasaki,Nagasaki,1378000,4105,A Prefeitura de Nagasaki está localizada na parte noroeste de Kyushu. Faz fronteira com a Prefeitura de Saga a leste e é cercada por água. A prefeitura também inclui um grande número de pequenas ilhas (588). A área marítima sob o controle do governo da prefeitura é cerca de 25 vezes a área terrestre em si.,"O clima marinho é quente e chuvoso, exceto nas regiões montanhosas.","Devido à sua posição, a prefeitura tem ligações históricas com a vizinha Coreia e a China. Também foi o único lugar no Japão autorizado a manter contato com estrangeiros (principalmente holandeses) durante os quase 250 anos do período Edo, em que o Japão ficou completamente isolado do exterior. Portanto, Nagasaki agiu como uma porta para a cultura e tecnologia ocidentais.
Nagasaki também é conhecida por ser a área mais cristianizada do Japão. Ela sediou as primeiras missões católicas romanas já no século XVI."
Kumamoto,Kumamoto,1787000,7404,"A província de Kumamoto está localizada no centro de Kyushu, a mais meridional das quatro principais ilhas japonesas. O Monte Aso (1592m), um extenso vulcão ativo, fica no leste da província de Kumamoto e é um ponto principal para turismo.",Um clima ameno com diferenças significativas de temperatura entre o inverno (fresco) e o verão (quente). Há uma estação chuvosa significativa em junho-julho que é responsável por 40% das precipitações anuais.,"A Prefeitura de Kumamoto foi um importante campo de batalha durante a Rebelião de Satsuma em 1877 que opôs samurais movidos pela tradição contra o novo governo imperial. Esta rebelião foi vista como um confronto entre as antigas tradições e os ventos da modernidade que sopravam por todo o Japão desde 1868, quando o último Shogun foi derrubado e os plenos poderes políticos/econômicos foram restaurados ao Imperador. Finalmente derrotados, o espírito e a honra demonstrados por esses samurais ainda são altamente considerados hoje, fornecendo muitos exemplos de heroísmo a serem seguidos e referenciados."
Ōita,Ōita,1167000,6339,"A província de Ōita fica na seção nordeste da ilha de Kyushu. Com muitas montanhas, 70% de Ōita é coberta por florestas, e os rios e córregos que fluem das cadeias de montanhas fornecem à província ricas fontes de água. Graças à Cordilheira Kirishima, um cinturão vulcânico que atravessa verticalmente a província, Ōita é a província com o maior número de fontes termais em todo o país (4538).","Com um clima geral ameno, a prefeitura registra muito pouca queda de neve, exceto nas áreas montanhosas.","Os habitantes de Ōita estão próximos de fontes termais desde os tempos antigos. O relato mais antigo sobre fontes termais e minerais locais é o Bungo Fudoki (Topografia Regional de Ōita), que foi editado durante a Era Nara (710-794). Não é nenhuma surpresa, então, que ainda hoje a cultura de relaxar em uma fonte vulcânica seja uma das atividades mais elogiadas tanto por moradores quanto por visitantes."
Miyazaki,Miyazaki,1104000,7735,"A Prefeitura de Miyazaki está localizada na costa leste da ilha de Kyushu. É cercada pelo Oceano Pacífico ao sul e leste, pela Prefeitura de Ōita ao norte e pelas Prefeituras de Kumamoto e Kagoshima a oeste. Em 1º de abril de 2012, 12% da área total da prefeitura foi designada como Parques Naturais.",O clima de Miyazaki é relativamente ameno devido à quente Corrente do Japão. Ele está no topo em número de dias ensolarados e não é incomum ter invernos sem nenhuma queda de neve.,"Graças ao seu clima ensolarado, os moradores locais são geralmente considerados pessoas de temperamento tranquilo, mas trabalhador.
Também devido às condições climáticas agradáveis, a prefeitura hospeda muitos campos de treinamento esportivo profissional, especialmente relacionados ao beisebol, que recebem times importantes e nacionais durante o período de fevereiro/março. Isso também é apoiado pelas autoridades locais que lançaram um projeto “Sports Land Miyazaki” para promover Miyazaki como uma região para esporte e lazer."
Kagoshima,Kagoshima,1649000,9132,"A prefeitura de Kagoshima está localizada na ponta sudoeste de Kyushu e inclui uma cadeia de ilhas que se estende mais para o sudoeste por algumas centenas de quilômetros. A prefeitura ostenta uma cadeia de vulcões ativos e adormecidos, incluindo o Sakurajima, que se ergue da baía de Kagoshima, bem em frente à cidade de Kagoshima, que regularmente envia nuvens de cinzas em direção à cidade.","Com uma temperatura média anual de 19°C, a prefeitura foi classificada em 2º lugar no Japão em 2012. A área sul da prefeitura é a parte mais chuvosa do Japão (até 9000 mm), com precipitação anual concentrada no período de maio a julho. A prefeitura também é regularmente atingida por tufões do verão ao outono.","Graças à sua localização, a prefeitura tem sido uma porta de entrada para a cultura estrangeira através da qual a inovação entrou no Japão, como a introdução da primeira arma de fogo que mudaria drasticamente o equilíbrio de poder, dando ao clã local, o Satsuma, uma vantagem significativa sobre outras regiões. Com tanto interesse por culturas estrangeiras, é natural que após o fim do período de isolamento japonês durante a segunda metade do século XIX , muitas pessoas da prefeitura tenham ido para países europeus para aprender sobre a cultura e a tecnologia ocidentais."
Okinawa,Naha,1434000,2271,Okinawa é a prefeitura mais ao sul do Japão. Ela compreende centenas de ilhas Ryukyu em uma cadeia de mais de 1.000 km de comprimento.,"A ilha apresenta temperaturas acima de 20 °C durante a maior parte do ano, com um clima marinho subtropical.","Após o fim da Segunda Guerra Mundial, Okinawa foi colocada sob a administração dos EUA e se tornou o lar de muitas bases do exército americano. Somente em 1972 a ilha retornou à administração japonesa, mas uma forte presença de forças americanas permaneceu e elas ainda estão presentes hoje.
Devido à sua distância do território principal do Japão, a cultura de Okinawa se desenvolveu em um estilo único e carrega influências das culturas chinesa, tailandesa e austronésia. Na arquitetura tradicional, muitos telhados exibem imagens de um leão ou dragão, chamado shisa, que supostamente protege a casa do perigo e tem origens chinesas."
